customer_id,full_name,phone,state
1001,User1001,9758132473,DL
1002,User1002,9119887282,DL
1003,User1003,9903898038,TN
1004,User1004,9840910315,MH
1005,User1005,9409330359,TN
1006,User1006,9462611907,MH
1007,User1007,9507798190,TN
1008,User1008,9714980533,TN
1009,User1009,9773173850,KA
1010,User1010,9392152543,DL
1011,User1011,9265211871,MH
1012,User1012,9679504569,DL
1013,User1013,9411964514,MH
1014,User1014,9529837794,KA
1015,User1015,9570561943,GJ
1016,User1016,9619649678,KA
1017,User1017,9305120228,GJ
1018,User1018,9749597729,KA
1019,User1019,9729957187,TN
1020,User1020,9423383196,GJ
1021,User1021,9421313522,GJ
1022,User1022,9307912912,TN
1023,User1023,9420113454,GJ
1024,User1024,9364823387,DL
1025,User1025,9596937566,DL
1026,User1026,9333289807,GJ
1027,User1027,9231247581,DL
1028,User1028,9755286332,MH
1029,User1029,9728114984,KA
1030,User1030,9739711167,TN
1031,User1031,9662307466,MH
1032,User1032,9161562912,TN
1033,User1033,9294769687,MH
1034,User1034,9492242867,DL
1035,User1035,9455658872,MH
1036,User1036,9262415667,DL
1037,User1037,9765884397,DL
1038,User1038,9140556123,KA
1039,User1039,9514639462,TN
1040,User1040,9573198224,GJ
1041,User1041,9123360418,GJ
1042,User1042,9799800145,KA
1043,User1043,9494094102,GJ
1044,User1044,9206234339,GJ
1045,User1045,9526032262,GJ
1046,User1046,9795082735,TN
1047,User1047,9369538565,TN
1048,User1048,9296201410,GJ
1049,User1049,9824523075,KA
1050,User1050,9230331045,DL
